keys,es,en
OGACEM,"""OGAC EM?"" Qué cojones es eso? desde cuándo tengo yo este poster aquí? parece escrito como si estuviera mirando un espejo.","""FLESYMTIHSI?"" What the hell is that? Since when do I have this poster here? It looks like it's written as if I were looking in a mirror."
ARRIBA,"No puedo desde aquí arriba, por alguna razón...","I can't from up here, for some reason..."
StreamIn,Hacer Stream,Stream
StreamIn_alt,Mover la silla,Move the chair
StreamOut,Dejar de hacer stream,Stop streaming
StreamOut_alt,Echar una cabezadita,Take a nap
StreamWrong,ssHssascssser ssStressams,ssHssascssser ssStressams
StreamWrong_alt,ffFMooffverfff ffLa Sffifflfllaa,ffFMooffverfff ffLa Sffifflfllaa
StreamOutWrong,Dssesjssasr sdses shssascser streamsss,ssSstsosps sssstsssrsesamsisnsgsss
StreamOutWrong_alt,Ecffhffar funfa cffabezffffaditaffff,ffTfafkffeff faf fnfafpff
Jump Down,Bajar pared,Lower the wall
Jump Down_alt,Saltar,Jump
Exit Window,Salir por la ventana,Exit through the window
Exit Window_alt,Asomarse,Look outside
Enter Window,Volver,Return
Enter Window_alt,Asomarse,Look inside
Blinders Up,Levantar la persiana,Raise the blind
Blinders Up_alt,Cuestionarse el cordelito,Question the little cord
Blinders Down,Bajar la persiana,Lower the blind
Blinders Down_alt,Cuestionarse el cordelito,Question the little cord
TouchWall,Tocar la pared,Touch the wall
TouchWall_alt,Subir la pared,Climb the wall
Move Chair,Mover la silla,Move the chair
Move Chair_alt,...,...
TabletSecret,Activar,Activate
TabletSecret_alt,...,...
Tablet,Leer chat,Read chat
Tablet_alt,...,...
Put on T-Shirt,Ponerse camiseta,Put on a shirt
Put on T-Shirt_alt,Quitarse camiseta,Take off a shirt
Put on Pants,Ponerse pantalones,Put on pants
Put on Pants_alt,Quitarse pantalones,Take off pants
Put on Underwear,Ponerse calzoncillos,Put on underwear
Put on Underwear_alt,Quitarse calzoncillos,Take off underwear
Sit,Sentarse en taburete,Sit on the stool
Sit_alt,Hablar con taburete,Talk to the stool
GetUp,Levantarse del taburete,Get up from the stool
GetUp_alt,Echar una cabezadita,Take a nap
Get Naked,Desnudarse,Get undressed
Get Naked_alt,Salir de casa por el armario,Leave the house through the closet
ReadPoster,Leer,Read
ReadPoster_alt,Contemplar,Contemplate
Lay up wall,Levantarse,Get up
Lay up wall_alt,Echar una cabezadita,Take a nap
Lay up,Levantarse,Get up
Lay up_alt,Echar una cabezadita,Take a nap
Lay down,Acostarse,Lie down
Lay down_alt,Girar el sofá con la mente,Spin the sofa with the mind
Lay down wall,Acostarse,Lie down
Lay down wall_alt,Girar el sofá con la mente,Spin the sofa with the mind
TabletLivingRoom,Activar,Activate
TabletLivingRoom_alt,...,...
RetsopDear,reeL,reeL
RetsopDear_alt,rariM,rariM
Tis,eterubat ne esratneS,Sit on the stool
Tis_alt,eterubat noc rablaH,Talk with stool
TabletNolas,Activar,Activate
TabletNolas_alt,...,...
MENU_MUSIC,Música,Music
MENU_DIALOGS,Diálogos,Dialogues
MENU_SFX,SFX,SFX
MENU_EXIT,SALISTE DEL VIDEOJUEGO,LEAVE THE GAME
